               3P0                         3P2
   w(a.u.)    alpha0                alpha0       alpha2
  0.000000   0.2920E+03           0.4072E+03  -0.6708E+02
  0.001000   0.2922E+03  	  0.4076E+03  -0.6712E+02
  0.002000   0.2927E+03  	  0.4089E+03  -0.6724E+02
  0.003000   0.2936E+03  	  0.4111E+03  -0.6743E+02
  0.004000   0.2948E+03  	  0.4143E+03  -0.6771E+02
  0.005000   0.2964E+03  	  0.4185E+03  -0.6806E+02
  0.006000   0.2983E+03  	  0.4237E+03  -0.6850E+02
  0.007000   0.3007E+03  	  0.4302E+03  -0.6902E+02
  0.008000   0.3035E+03  	  0.4380E+03  -0.6963E+02
  0.009000   0.3068E+03  	  0.4474E+03  -0.7033E+02
  0.010000   0.3106E+03  	  0.4587E+03  -0.7111E+02
  0.011000   0.3150E+03  	  0.4721E+03  -0.7197E+02
  0.012000   0.3200E+03  	  0.4881E+03  -0.7290E+02
  0.013000   0.3257E+03  	  0.5075E+03  -0.7388E+02
  0.014000   0.3322E+03  	  0.5310E+03  -0.7487E+02
  0.015000   0.3396E+03  	  0.5599E+03  -0.7577E+02
  0.016000   0.3481E+03  	  0.5962E+03  -0.7641E+02
  0.017000   0.3578E+03  	  0.6428E+03  -0.7643E+02
  0.018000   0.3689E+03  	  0.7049E+03  -0.7507E+02
  0.019000   0.3819E+03  	  0.7919E+03  -0.7050E+02
  0.020000   0.3970E+03  	  0.9245E+03  -0.5811E+02
  0.021000   0.4148E+03  	  0.1174E+04  -0.3225E+02
  0.022000   0.4360E+03  	  0.1610E+04   0.3879E+03
  0.023000   0.4616E+03  	 -0.1511E+03  -0.1958E+04
  0.024000   0.4931E+03  	  0.2124E+04  -0.1035E+04
  0.025000   0.5326E+03  	  0.1606E+05  -0.4825E+04
  0.026000   0.5837E+03  	 -0.3020E+04   0.6999E+03
  0.027000   0.6521E+03  	 -0.1290E+04   0.2443E+03
  0.028000   0.7483E+03  	 -0.7681E+03   0.1189E+03
  0.029000   0.8937E+03  	 -0.5135E+03   0.6186E+02
  0.030000   0.1139E+04  	 -0.3614E+03   0.2955E+02
  0.031000   0.1639E+04  	 -0.2598E+03   0.8670E+01
  0.032000   0.3229E+04  	 -0.1865E+03  -0.6059E+01
  0.033000  -0.3381E+05  	 -0.1307E+03  -0.1710E+02
  0.034000  -0.2403E+04  	 -0.8624E+02  -0.2563E+02
  0.035000  -0.1161E+04  	 -0.4886E+02  -0.3182E+02
  0.036000  -0.7241E+03  	 -0.1136E+02  -0.3126E+02
  0.037000  -0.5009E+03  	 -0.1434E+02  -0.6639E+02
  0.038000  -0.3650E+03  	  0.2005E+02  -0.6071E+02
  0.039000  -0.2734E+03  	  0.4232E+02  -0.6466E+02
  0.040000  -0.2072E+03  	  0.6167E+02  -0.6982E+02
  0.041000  -0.1570E+03  	  0.7935E+02  -0.7553E+02
  0.042000  -0.1173E+03  	  0.9600E+02  -0.8170E+02
  0.043000  -0.8514E+02  	  0.1120E+03  -0.8839E+02
  0.044000  -0.5829E+02  	  0.1278E+03  -0.9573E+02
  0.045000  -0.3541E+02  	  0.1436E+03  -0.1039E+03
  0.046000  -0.1554E+02  	  0.1598E+03  -0.1130E+03
  0.047000   0.2033E+01  	  0.1768E+03  -0.1235E+03
  0.048000   0.1782E+02  	  0.1950E+03  -0.1357E+03
  0.049000   0.3223E+02  	  0.2150E+03  -0.1500E+03
  0.050000   0.4559E+02  	  0.2377E+03  -0.1673E+03
